"S1.bam" "S10.bam" "S11.bam" "S12.bam" "S2.bam" "S3.bam" "S4.bam" "S5.bam" "S6.bam" "S7.bam" "S8.bam" "S9.bam"
"OL67_000001" 1976 1689 1468 2907 1572 3402 2329 1880 2665 1393 1674 2242
"OL67_000002" 3743 4214 2971 4479 3616 5253 4681 4132 5195 2649 3515 5338
"OL67_000003" 677 383 214 279 464 703 555 465 676 228 361 449
"OL67_000004" 63 75 50 67 73 87 73 57 91 44 80 91
"OL67_000005" 66 98 63 61 62 123 108 105 120 68 80 119
"OL67_000006" 78 650 376 404 48 78 75 48 93 257 451 536
"OL67_000007" 4544 4316 3026 3739 3811 5670 4670 4281 6134 3189 4414 6122
"OL67_000008" 1144 1065 652 802 1068 1566 1125 926 1549 1025 1541 1978
"OL67_000009" 1169 379 229 339 738 1265 864 745 1103 539 690 1103
"OL67_000010" 742 247 182 276 651 1071 769 626 987 428 531 786
"OL67_000011" 2 14 4 3 3 5 3 2 6 4 6 8
"OL67_000018" 269 761 542 689 323 506 422 411 565 433 637 806
"OL67_000019" 117 335 220 279 118 214 144 163 231 170 304 333
"OL67_000020" 179 408 265 410 167 224 191 192 230 382 659 636
"OL67_000021" 20 63 60 57 49 54 43 32 60 70 116 109
"OL67_000022" 81 133 122 97 89 116 123 101 140 80 131 159
"OL67_000023" 111 81 65 114 71 90 75 71 109 80 130 142
"OL67_000024" 60 78 50 86 67 87 69 59 76 61 96 116
"OL67_000025" 29 43 19 10 31 34 38 28 36 22 40 39
"OL67_000026" 141 221 169 155 184 224 224 185 244 105 213 274
"OL67_000027" 158 292 193 156 235 323 243 252 333 161 247 303
"OL67_000028" 79 108 101 78 98 181 153 151 192 82 106 144
"OL67_000029" 128 191 144 87 190 193 175 198 249 112 155 230
"OL67_000030" 775 1791 1295 1619 834 1219 918 880 1189 936 1248 1788
"OL67_000031" 263 845 520 418 411 557 418 392 554 413 503 869
"OL67_000032" 1654 1113 737 1009 1445 2132 1702 1350 2270 831 1035 1681
"OL67_000033" 171 221 147 177 184 295 229 159 242 111 201 226
"OL67_000034" 1743 1622 1324 1553 1713 2409 2590 2362 3169 806 1001 1780
"OL67_000035" 1057 1196 907 988 1090 1683 1142 1229 1685 706 892 1377
"OL67_000036" 420 273 220 307 384 504 426 317 501 191 325 410
"OL67_000037" 70 104 74 82 74 148 111 119 143 61 78 108
"OL67_000038" 272 238 182 271 290 370 300 290 368 143 214 252
"OL67_000039" 145 198 145 161 145 256 205 178 240 105 135 202
"OL67_000040" 255 252 214 201 276 414 381 295 374 195 199 344
"OL67_000041" 96 136 81 42 91 96 59 80 123 43 57 109
"OL67_000042" 673 1022 815 1351 854 1297 1056 1060 1124 590 821 1078
"OL67_000043" 377 607 305 502 372 440 485 423 588 473 773 1008
"OL67_000044" 407 545 307 470 378 496 433 469 618 431 501 732
"OL67_000045" 844 446 300 444 572 848 739 657 857 442 720 815
"OL67_000046" 282 530 372 565 387 513 452 326 508 526 704 912
"OL67_000047" 455 355 251 383 404 609 420 406 652 333 412 658
"OL67_000048" 3023 4308 3232 4560 4207 6653 3704 3439 5336 5378 7455 9700
"OL67_000049" 399 303 211 362 368 485 480 365 477 243 354 474
"OL67_000050" 202 377 257 349 324 462 394 402 543 267 370 456
"OL67_000051" 370 555 391 590 468 601 550 562 745 337 410 656
"OL67_000052" 849 1941 1280 2563 480 697 525 409 650 1593 2045 3402
"OL67_000053" 591 479 484 920 436 709 508 485 578 289 346 519
"OL67_000054" 709 1221 1158 1988 959 1305 989 1006 1229 718 1016 1493
"OL67_000055" 819 873 705 997 900 1352 985 807 1275 551 799 1126
"OL67_000056" 314 387 297 507 256 384 322 342 461 247 407 487
"OL67_000057" 1085 3295 2214 606 2325 2938 3184 2140 3492 2361 3099 4679
"OL67_000058" 1629 855 602 850 1024 1421 1275 1066 1594 704 1051 1219
"OL67_000059" 39 54 47 61 48 74 59 53 74 62 100 93
"OL67_000060" 1577 4909 3614 4936 1856 2453 3086 2746 3436 2066 2720 4440
"OL67_000061" 1611 2833 2083 3633 1153 1559 1516 1397 1614 1857 2568 3375
"OL67_000062" 267 382 223 364 161 302 184 160 281 202 334 464
"OL67_000063" 1084 1372 1074 1344 1086 1558 1298 1301 1626 744 941 1379
"OL67_000064" 1395 1682 1339 1923 1337 1903 1602 1584 1896 904 1257 1903
"OL67_000065" 805 958 717 1188 724 975 818 823 920 491 754 993
"OL67_000066" 1709 2513 2095 3401 1329 1956 1788 1542 1893 1304 1892 2521
"OL67_000067" 486 595 428 772 304 466 376 291 404 276 423 515
"OL67_000068" 581 409 336 409 700 1024 1231 1048 1186 235 294 365
"OL67_000069" 203 207 126 260 171 255 206 200 276 146 155 252
"OL67_000070" 2940 3717 2838 3467 3388 4929 4157 3942 5044 2541 3140 4802
"OL67_000071" 1177 1357 1081 1344 1240 1683 2066 1937 2373 704 846 1483
"OL67_000072" 108 221 103 92 163 227 131 135 248 137 208 223
"OL67_000073" 129 86 82 165 106 194 146 88 162 78 134 136
"OL67_000074" 275 210 172 152 315 464 287 354 465 158 206 306
"OL67_000075" 419 553 397 491 562 813 716 596 813 283 412 680
"OL67_000076" 1207 1063 664 952 1160 1645 1086 1304 1880 550 717 1184
"OL67_000077" 1066 1232 965 1271 944 1328 1095 820 1340 1478 2085 2444
"OL67_000078" 309 165 134 181 194 296 270 149 239 204 301 339
"OL67_000079" 4506 5674 3926 4974 3668 5526 4243 3881 5839 4158 5976 8214
"OL67_000080" 735 600 426 603 595 908 725 661 941 472 748 963
"OL67_000081" 319 444 323 307 388 612 512 407 551 239 304 440
"OL67_000082" 1852 7679 6422 6871 1612 2574 2303 2231 2144 1095 1276 1842
"OL67_000083" 551 734 638 652 570 884 654 622 841 409 557 764
"OL67_000084" 328 518 420 798 397 619 455 496 599 388 429 580
"OL67_000085" 409 435 393 378 466 598 513 442 607 194 297 419
"OL67_000086" 296 387 294 409 288 450 376 432 497 144 198 333
"OL67_000087" 1461 2338 1901 3118 1385 2258 2025 1787 2438 1105 1260 2161
"OL67_000088" 691 1004 810 1743 605 1076 773 810 942 524 606 984
"OL67_000089" 218 97 94 61 185 292 301 223 323 79 159 173
"OL67_000090" 188 447 245 290 181 246 194 231 256 182 293 397
"OL67_000091" 89 193 165 195 164 207 343 221 400 80 84 161
"OL67_000092" 231 300 204 161 222 318 255 234 282 113 220 271
"OL67_000093" 329 642 525 498 383 551 520 468 616 398 589 656
"OL67_000094" 357 463 336 327 413 573 529 512 571 297 392 542
"OL67_000095" 1145 1446 1115 1190 1347 1797 1630 1525 1998 996 1327 1979
"OL67_000096" 794 852 595 1346 743 941 1303 1104 1531 471 586 864
"OL67_000097" 1325 1563 1078 910 1233 1843 1465 1360 2027 1094 1363 1965
"OL67_000098" 706 1007 744 723 676 1062 766 723 1036 413 625 997
"OL67_000099" 61 59 55 108 48 64 66 51 64 44 61 76
"OL67_000100" 4376 3089 2129 2594 3128 4714 3518 3423 5290 2890 3549 5494
"OL67_000101" 45 94 113 310 50 96 84 88 123 88 77 104
"OL67_000102" 2453 1105 1016 1447 2361 3744 3857 3220 3845 978 1283 1757
"OL67_000103" 98 102 105 107 106 173 222 168 252 79 101 163
"OL67_000104" 179 255 203 263 163 302 301 251 385 180 223 325
"OL67_000105" 184 252 192 278 187 259 375 320 403 148 174 296
"OL67_000106" 167 189 214 321 144 226 293 231 382 133 191 242
"OL67_000107" 1326 1762 1404 2289 1524 2235 2957 2900 4093 1542 2050 3087
"OL67_000108" 471 703 506 454 556 734 696 662 840 442 561 825
"OL67_000109" 214 247 258 395 189 270 261 204 256 176 205 280
"OL67_000110" 259 443 293 237 299 472 479 382 510 222 387 419
"OL67_000111" 312 828 585 739 363 580 498 439 574 354 539 796
"OL67_000112" 374 2059 1353 1277 592 895 916 766 989 877 1137 1664
"OL67_000113" 200 1016 667 707 243 403 428 320 406 572 852 1005
"OL67_000114" 215 492 313 435 194 271 333 216 291 426 659 811
"OL67_000115" 193 183 194 247 116 213 214 173 249 193 350 370
"OL67_000116" 4166 6515 4614 4698 4999 6608 6334 6342 7212 3073 4289 6207
"OL67_000117" 205 132 105 234 231 348 312 282 317 148 218 306
"OL67_000118" 195 186 203 188 263 433 364 299 398 226 274 325
"OL67_000119" 383 353 216 321 477 636 561 472 556 224 298 493
"OL67_000120" 1032 5107 4112 4252 1454 2281 2283 1921 2979 1913 2207 3939
"OL67_000121" 624 1733 1341 1492 783 1228 1464 1113 1558 606 821 1123
"OL67_000122" 59 138 89 49 73 125 109 90 149 77 72 150
"OL67_000124" 800 953 433 673 641 974 874 696 1073 582 763 1053
"OL67_000125" 701 537 347 472 419 684 598 440 593 378 475 600
"OL67_000126" 185 86 78 88 146 206 212 155 205 72 104 132
"OL67_000127" 2257 1240 768 1163 1451 2346 1860 1552 2291 891 1123 1824
"OL67_000128" 937 907 669 963 858 1238 925 977 1226 511 680 1184
"OL67_000129" 272 288 219 133 325 486 479 274 538 148 209 284
"OL67_000130" 308 249 169 215 231 409 303 294 407 142 174 258
"OL67_000131" 52 52 33 41 46 71 55 64 70 25 38 42
"OL67_000132" 275 353 272 271 404 571 540 444 546 192 278 454
"OL67_000133" 343 1331 876 907 899 1540 1098 992 1716 800 1245 1623
"OL67_000134" 727 556 344 482 478 703 577 515 771 403 483 713
"OL67_000135" 845 623 407 598 533 843 661 602 876 437 624 911
"OL67_000136" 322 252 160 316 252 394 265 304 402 171 226 391
"OL67_000138" 588 634 530 602 757 1232 1025 872 1107 402 467 750
"OL67_000139" 9 6 2 3 15 13 15 14 14 2 9 15
"OL67_000140" 7 7 10 6 16 29 29 14 20 5 6 17
"OL67_000141" 390 650 431 297 524 645 747 645 750 228 344 547
"OL67_000142" 226 434 271 116 318 517 454 397 547 165 180 319
"OL67_000143" 3264 3690 2610 3186 3651 5152 4570 3942 5456 1953 2706 4141
"OL67_000144" 782 678 512 505 805 1197 999 996 1365 362 536 837
"OL67_000145" 692 887 634 656 898 1270 1101 1053 1507 471 566 1073
"OL67_000146" 810 1095 657 453 1247 1826 1375 1458 2169 667 920 1559
"OL67_000147" 184 652 381 447 227 294 308 257 333 362 507 641
"OL67_000148" 12 37 22 34 12 17 18 4 28 24 39 52
"OL67_000149" 23 61 46 99 27 34 33 25 27 45 69 93
"OL67_000150" 11 45 28 46 22 20 27 10 20 23 33 47
"OL67_000151" 9 31 24 29 13 19 21 11 26 19 26 15
"OL67_000152" 88 136 85 177 55 110 88 60 109 94 137 191
"OL67_000153" 242 329 257 155 352 492 361 376 521 194 222 385
"OL67_000154" 27 59 57 28 89 94 94 76 109 43 64 96
"OL67_000155" 25 50 29 44 31 52 36 23 66 26 34 59
"OL67_000156" 7 5 2 5 7 11 7 5 12 2 4 6
"OL67_000157" 19 10 16 16 12 44 17 12 30 11 12 14
"OL67_000158" 13 35 17 19 19 41 41 27 48 16 23 31
"OL67_000159" 21 28 21 16 18 23 18 18 29 17 17 25
"OL67_000160" 17 30 23 35 25 29 29 31 37 10 24 23
"OL67_000161" 103 740 506 494 167 194 176 174 226 598 844 978
"OL67_000162" 946 521 513 866 918 2069 2188 2008 2963 348 494 593
"OL67_000163" 1042 307 250 307 834 1382 1522 1490 2167 179 281 401
"OL67_000164" 867 226 210 380 903 1400 1830 1302 1885 165 279 384
"OL67_000165" 664 279 188 302 658 1024 1079 977 1353 138 255 396
"OL67_000166" 604 197 179 326 570 778 968 732 1105 108 171 304
"OL67_000167" 1304 555 472 553 1138 1765 2295 1498 2411 299 536 851
"OL67_000168" 7629 4386 4001 5269 6898 12286 13871 12427 19060 1977 3590 4580
"OL67_000169" 471 405 264 140 528 748 1098 699 1038 177 314 430
"OL67_000170" 246 1050 1023 952 394 568 666 708 909 320 392 624
"OL67_000171" 293 617 642 765 292 438 782 560 624 172 225 341
"OL67_000172" 660 1414 1301 1690 765 1106 1585 1423 1862 525 548 1033
"OL67_000173" 382 849 740 982 454 742 990 805 1038 347 372 561
"OL67_000174" 846 1379 1025 1496 881 1112 1454 1445 1882 416 504 915
"OL67_000175" 81 18251 12247 10160 120 220 499 481 795 731 796 1783
"OL67_000176" 21 82 46 48 27 57 64 65 85 20 29 45
"OL67_000177" 668 427 273 396 548 798 785 643 959 199 352 411
"OL67_000178" 221 266 189 165 280 500 444 334 522 106 217 228
"OL67_000179" 1123 368 308 447 1000 1338 1333 928 1329 164 308 427
"OL67_000180" 403 152 104 295 250 499 390 231 412 71 151 178
"OL67_000181" 421 872 646 862 395 580 402 358 507 411 560 946
"OL67_000182" 106 185 119 151 132 168 123 122 165 245 394 480
"OL67_000183" 4528 336 215 213 2818 3928 189 176 233 2890 4191 6385
"OL67_000184" 266 12 4 6 175 273 11 6 7 143 184 324
"OL67_000185" 489 930 709 707 501 760 510 392 666 537 931 1001
"OL67_000186" 1549 2389 1896 2010 1727 2489 2173 2050 3084 1054 1304 2083
"OL67_000187" 2934 4045 3028 4157 2731 4162 3892 3249 4592 1932 2412 4101
"OL67_000188" 1860 3427 3008 3935 1820 2887 2143 2153 3185 1483 1778 3023
"OL67_000189" 13256 39338 32123 47016 14910 22581 17835 20142 27318 18761 21663 34966
"OL67_000190" 968 15484 16254 31537 1399 1998 2167 1838 2240 6955 9326 9502
"OL67_000191" 606 5613 4475 8976 548 824 971 676 973 1863 2853 2915
"OL67_000192" 298 2802 2225 3612 416 490 549 436 571 1060 1721 1839
"OL67_000193" 354 567 421 483 394 573 472 409 562 271 360 591
"OL67_000194" 2494 3337 2486 4072 3108 4289 3834 3825 4727 1951 2569 4126
