"Start","GeneID.x","Chr.x","End.x","Strand.x","Length.x","GeneID.y","Chr.y","End.y","Strand.y","Length.y"
1,"OL67_000001","1",1428,"+",1427,"chromosomal replication initiator protein DnaA","CP080275",1428,"+",1427
1738,"OL67_000002","1",2859,"+",1121,"DNA polymerase III subunit beta","CP080275",2859,"+",1121
2957,"OL67_000003","1",4054,"+",1097,"DNA replication/repair protein RecF","CP080275",4054,"+",1097
4051,"OL67_000004","1",4671,"+",620,"LysE family translocator","CP080275",4671,"+",620
4686,"OL67_000005","1",5285,"-",599,"TetR/AcrR family transcriptional regulator","CP080275",5285,"-",599
5386,"OL67_000006","1",5979,"+",593,"NAD(P)H-dependent oxidoreductase","CP080275",5979,"+",593
6065,"OL67_000007","1",8482,"+",2417,"DNA topoisomerase (ATP-hydrolyzing) subunit B","CP080275",8482,"+",2417
8899,"OL67_000008","1",9726,"+",827,"hypothetical protein","CP080275",9726,"+",827
9880,"OL67_000009","1",10959,"+",1079,"transporter substrate-binding domain-containing protein","CP080275",10959,"+",1079
10971,"OL67_000010","1",11996,"+",1025,"transporter substrate-binding domain-containing protein","CP080275",11996,"+",1025
12128,"OL67_000011","1",12442,"-",314,NA,NA,NA,NA,NA
18721,"OL67_000018","1",20067,"-",1346,"aminotransferase class III-fold pyridoxal phosphate-dependent enzyme","CP080275",20067,"-",1346
20064,"OL67_000019","1",20873,"-",809,"IclR family transcriptional regulator","CP080275",20873,"-",809
20990,"OL67_000020","1",21934,"+",944,"tripartite tricarboxylate transporter substrate binding protein","CP080275",21934,"+",944
21999,"OL67_000021","1",22538,"+",539,"tripartite tricarboxylate transporter TctB family protein","CP080275",22538,"+",539
22551,"OL67_000022","1",24068,"+",1517,"tripartite tricarboxylate transporter permease","CP080275",24068,"+",1517
24074,"OL67_000023","1",25558,"+",1484,"aldehyde dehydrogenase","CP080275",25558,"+",1484
25570,"OL67_000024","1",26829,"+",1259,"Tm-1-like ATP-binding domain-containing protein","CP080275",26829,"+",1259
26892,"OL67_000025","1",27281,"+",389,"5-carboxymethyl-2-hydroxymuconate Delta-isomerase","CP080275",27281,"+",389
27278,"OL67_000026","1",28789,"+",1511,"5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase","CP080275",28789,"+",1511
28789,"OL67_000027","1",29772,"+",983,"3%2C4-dihydroxyphenylacetate 2%2C3-dioxygenase","CP080275",29772,"+",983
29769,"OL67_000028","1",30623,"+",854,"fumarylacetoacetate hydrolase family protein","CP080275",30623,"+",854
30620,"OL67_000029","1",31420,"+",800,"2-oxo-hepta-3-ene-1%2C7-dioic acid hydratase","CP080275",31420,"+",800
31515,"OL67_000030","1",32504,"-",989,"Hint domain-containing protein","CP080275",32504,"-",989
32509,"OL67_000031","1",32733,"-",224,"hypothetical protein","CP080275",32733,"-",224
33043,"OL67_000032","1",33957,"-",914,"rhodanese-related sulfurtransferase","CP080275",33957,"-",914
34079,"OL67_000033","1",34684,"+",605,"bifunctional nicotinamidase/pyrazinamidase","CP080275",34684,"+",605
34742,"OL67_000034","1",37006,"+",2264,"ATP-binding protein","CP080275",37006,"+",2264
37071,"OL67_000035","1",38360,"+",1289,"nicotinate phosphoribosyltransferase","CP080275",38360,"+",1289
38487,"OL67_000036","1",39944,"-",1457,"aldehyde dehydrogenase family protein","CP080275",39944,"-",1457
39937,"OL67_000037","1",40410,"-",473,"GNAT family N-acetyltransferase","CP080275",40410,"-",473
40407,"OL67_000038","1",42014,"-",1607,"dipeptide ABC transporter ATP-binding protein","CP080275",42014,"-",1607
42011,"OL67_000039","1",42826,"-",815,"ABC transporter permease","CP080275",42826,"-",815
42954,"OL67_000040","1",43901,"-",947,"ABC transporter permease","CP080275",43901,"-",947
44017,"OL67_000041","1",45282,"+",1265,NA,NA,NA,NA,NA
44098,NA,NA,NA,NA,NA,"acetoin utilization protein AcuC","CP080275",45282,"+",1184
45354,"OL67_000042","1",46832,"-",1478,"ABC transporter substrate-binding protein","CP080275",46832,"-",1478
46993,"OL67_000043","1",47856,"+",863,"3-methyl-2-oxobutanoate hydroxymethyltransferase","CP080275",47856,"+",863
47864,"OL67_000044","1",48721,"+",857,"pantoate--beta-alanine ligase","CP080275",48721,"+",857
48789,"OL67_000045","1",50273,"+",1484,"glycerol kinase GlpK","CP080275",50273,"+",1484
50395,"OL67_000046","1",51651,"-",1256,"flavin-dependent oxidoreductase","CP080275",51651,"-",1256
51754,"OL67_000047","1",52302,"-",548,"isopentenyl-diphosphate Delta-isomerase","CP080275",52302,"-",548
52561,"OL67_000048","1",53025,"-",464,"cytochrome C","CP080275",53025,"-",464
53180,"OL67_000049","1",54217,"-",1037,"P1 family peptidase","CP080275",54217,"-",1037
54343,"OL67_000050","1",55104,"-",761,"SDR family oxidoreductase","CP080275",55104,"-",761
55171,"OL67_000051","1",55602,"-",431,"aminoacyl-tRNA hydrolase","CP080275",55590,"-",419
55956,"OL67_000052","1",56588,"-",632,"queuosine precursor transporter","CP080275",56588,"-",632
56769,"OL67_000053","1",57698,"-",929,"esterase-like activity of phytase family protein","CP080275",57698,"-",929
57671,"OL67_000054","1",58594,"-",923,"penicillin-insensitive murein endopeptidase","CP080275",58594,"-",923
58591,"OL67_000055","1",59955,"-",1364,"MFS transporter","CP080275",59955,"-",1364
60030,"OL67_000056","1",60617,"-",587,"acyl-CoA thioesterase","CP080275",60617,"-",587
60752,"OL67_000057","1",61039,"+",287,"YggT family protein","CP080275",61039,"+",287
61241,"OL67_000058","1",63340,"+",2099,NA,NA,NA,NA,NA
61262,NA,NA,NA,NA,NA,"DNA helicase RecQ","CP080275",63340,"+",2078
63370,"OL67_000059","1",64134,"+",764,"peroxide stress protein YaaA","CP080275",64134,"+",764
64162,"OL67_000060","1",66456,"-",2294,"response regulator","CP080275",66456,"-",2294
66605,"OL67_000061","1",72073,"+",5468,NA,NA,NA,NA,NA
66764,NA,NA,NA,NA,NA,"alpha-2-macroglobulin family protein","CP080275",72073,"+",5309
72133,NA,NA,NA,NA,NA,"penicillin-binding protein 1C","CP080275",74160,"+",2027
72136,"OL67_000062","1",74160,"+",2024,NA,NA,NA,NA,NA
74195,"OL67_000063","1",76255,"-",2060,"hypothetical protein","CP080275",76255,"-",2060
76271,"OL67_000064","1",79189,"-",2918,"DUF4159 domain-containing protein","CP080275",79189,"-",2918
79186,"OL67_000065","1",80109,"-",923,"DUF58 domain-containing protein","CP080275",80109,"-",923
80106,"OL67_000066","1",81113,"-",1007,"MoxR family ATPase","CP080275",81113,"-",1007
81178,NA,NA,NA,NA,NA,"DUF1285 domain-containing protein","CP080275",81795,"+",617
