"GeneID","Chr","Start","End","Strand","Length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gap"
"OL67_000001",1,1,1428,"+",1428,2055.46464910474,-0.207796127513597,0.214716080759638,-0.967771611601893,0.33315844455592,0.483262798696499,310
"OL67_000002",1,1738,2859,"+",1122,4070.43292674189,-0.0671672747763749,0.0946337439842844,-0.709760302704807,0.477852790050769,0.629925781824582,98
"OL67_000003",1,2957,4054,"+",1098,443.382075256575,0.216608868627356,0.174827605617266,1.23898550153205,0.21535086738023,0.347085647059711,-3
"OL67_000004",1,4051,4671,"+",621,69.7378173390423,0.123139148819231,0.212059792262383,0.580681266851709,0.561455289549347,0.69691372987038,15
"OL67_000005",1,4686,5285,"-",600,87.3115858644124,0.232136721558206,0.214584791299623,1.08179484739939,0.27934369665437,0.422859724293312,101
"OL67_000006",1,5386,5979,"+",594,261.168143136403,-0.238344224677483,0.205897305279936,-1.15758787786674,0.247032258491051,0.385896545808506,86
"OL67_000007",1,6065,8482,"+",2418,4409.45228335016,0.266794717034589,0.0900048090049691,2.96422735611671,0.00303444003219288,0.0101148001073096,417
"OL67_000008",1,8899,9726,"+",828,1180.06370504461,0.818627096935774,0.118614199305306,6.90159442739798,5.14220720666612e-12,6.4850766045853e-11,154
"OL67_000009",1,9880,10959,"+",1080,741.867894737631,1.25708953915811,0.166848769804143,7.53430511135174,4.90942131621732e-14,7.1213583927548e-13,12
"OL67_000010",1,10971,11996,"+",1026,587.696262026628,1.26963043588226,0.123656153449105,10.2674262498778,9.88054737182611e-25,2.83528750669793e-23,132
"OL67_000011",1,12128,12442,"-",315,4.85177922821974,-0.229958679698291,0.709404985472751,-0.32415712379727,0.745819081142344,0.841451714401067,6279
"OL67_000018",1,18721,20067,"-",1347,526.144092599066,-0.123036945392431,0.117138925326658,-1.05035064176426,0.293556929869816,0.440335394804724,-3
"OL67_000019",1,20064,20873,"-",810,216.926817875351,-0.0811472452219733,0.169057107919049,-0.479999014657399,0.631228093675303,0.753591573998855,117
"OL67_000020",1,20990,21934,"+",945,331.701653982764,0.622852299034466,0.165351602857451,3.76683556899913,0.000165329812722469,0.000749949665957589,65
"OL67_000021",1,21999,22538,"+",540,61.5498041053398,0.682482146938014,0.286347998694172,2.38340114144442,0.0171534910247799,0.0451347670818128,13
"OL67_000022",1,22551,24068,"+",1518,113.415053943814,0.0103958766598672,0.196203311660142,0.0529852252334795,0.957743679732367,0.975730633326517,6
"OL67_000023",1,24074,25558,"+",1485,94.7481454673323,0.409291989128158,0.251603892538654,1.62673154615554,0.103794125742164,0.201152933794197,12
"OL67_000024",1,25570,26829,"+",1260,74.6476742871074,0.31915226749645,0.200766042499908,1.58967255379653,0.111908633384045,0.212545893621495,63
"OL67_000025",1,26892,27281,"+",390,30.3868768072921,0.479979478027365,0.397238805111635,1.2082895020603,0.226935925062453,0.361781909519853,-3
"OL67_000026",1,27278,28789,"+",1512,191.008303117209,0.0391126619826977,0.195097985848155,0.200477015755247,0.84110753187926,0.902163008191189,0
"OL67_000027",1,28789,29772,"+",984,236.476354385939,0.110195143768957,0.216069977306552,0.509997479254677,0.610053227789403,0.737877453282235,-3
"OL67_000028",1,29769,30623,"+",855,119.576466000475,0.155890535318363,0.219972455198074,0.708682071934833,0.478521792738663,0.630387990434167,-3
"OL67_000029",1,30620,31420,"+",801,168.260691157948,0.167879280003163,0.261006028080738,0.643200776769922,0.520093829353874,0.664030226964315,95
"OL67_000030",1,31515,32504,"-",990,1200.98238678347,-0.288078184267148,0.0784663765634394,-3.67135831784254,0.000241264812440622,0.00106868977322692,5
"OL67_000031",1,32509,32733,"-",225,505.793971620314,-0.0568287157841353,0.224189978914286,-0.253484638605825,0.799893730247919,0.877932142955033,310
"OL67_000032",1,33043,33957,"-",915,1371.1208972253,0.263452430876406,0.113320495243166,2.32484362436895,0.0200803233822391,0.0518033098330078,122
"OL67_000033",1,34079,34684,"+",606,192.570884405392,-0.0582029948807248,0.168939979750702,-0.344518775050242,0.730456178828794,0.830369794950687,58
"OL67_000034",1,34742,37006,"+",2265,1783.87311012955,-0.403775072716844,0.10677313113915,-3.78161685818348,0.000155813048691625,0.000709218014734295,65
"OL67_000035",1,37071,38360,"+",1290,1136.54576735498,-0.109096273706324,0.113168181778027,-0.964018967100756,0.335036416694084,0.485275863243809,127
"OL67_000036",1,38487,39944,"-",1458,349.002874605559,0.15541620424542,0.150224803601882,1.03455754655068,0.300875588851222,0.448425792943485,-7
"OL67_000037",1,39937,40410,"-",474,95.0248675620525,-0.111420716724697,0.204221044985835,-0.545588809088826,0.585348618614208,0.719994012063908,-3
