"GeneID" "Chr" "Start" "End" "Strand" "Length"
"1" "AAA family ATPase_1" "CP080276" 1 1305 "+" 1305
"2" "chromosomal replication initiator protein DnaA" "CP080275" 1 1428 "+" 1428
"3" "ATP-grasp domain-containing protein_1" "CP080278" 209 1396 "+" 1188
"4" "hypothetical protein_1" "CP080277" 219 461 "+" 243
"5" "phosphoadenosine phosphosulfate reductase family protein" "CP080277" 458 1249 "+" 792
"6" "hypothetical protein_2" "CP080277" 1261 1542 "+" 282
"7" "ParB N-terminal domain-containing protein_1" "CP080276" 1302 2444 "+" 1143
"8" "4-hydroxy-2-oxovalerate aldolase" "CP080278" 1468 2508 "+" 1041
"9" "hypothetical protein_3" "CP080277" 1593 2072 "+" 480
"10" "DNA polymerase III subunit beta" "CP080275" 1738 2859 "+" 1122
"11" "DUF4314 domain-containing protein" "CP080277" 2084 2509 "+" 426
"12" "non-ribosomal peptide synthetase" "CP080279" 2299 6690 "+" 4392
"13" "acetaldehyde dehydrogenase (acetylating)" "CP080278" 2505 3416 "+" 912
"14" "hypothetical protein_4" "CP080277" 2521 2913 "+" 393
"15" "family 16 glycosylhydrolase" "CP080276" 2883 4181 "+" 1299
"16" "hypothetical protein_5" "CP080277" 2942 3593 "+" 652
"17" "DNA replication/repair protein RecF" "CP080275" 2957 4054 "+" 1098
"18" "aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme_1" "CP080278" 3474 4733 "+" 1260
"19" "hypothetical protein_6" "CP080277" 3662 3871 "+" 210
"20" "hypothetical protein_7" "CP080277" 3911 5143 "+" 1233
"21" "LysE family translocator_1" "CP080275" 4051 4671 "+" 621
"22" "sulfotransferase domain-containing protein_1" "CP080276" 4216 5130 "-" 915
"23" "TetR/AcrR family transcriptional regulator_1" "CP080275" 4686 5285 "-" 600
"24" "MFS transporter_1" "CP080278" 4783 6000 "-" 1218
"25" "hypothetical protein_8" "CP080277" 5145 6215 "+" 1071
"26" "glycosyltransferase_1" "CP080276" 5315 7889 "+" 2575
"27" "NAD(P)H-dependent oxidoreductase_1" "CP080275" 5386 5979 "+" 594
"28" "DNA topoisomerase (ATP-hydrolyzing) subunit B" "CP080275" 6065 8482 "+" 2418
"29" "hypothetical protein_9" "CP080278" 6100 6315 "-" 216
"30" "hypothetical protein_10" "CP080277" 6875 7165 "+" 291
"31" "amino acid ABC transporter substrate-binding protein_1" "CP080279" 6936 7712 "+" 777
"32" "DUF3299 domain-containing protein_1" "CP080277" 7411 7974 "+" 564
"33" "amino acid ABC transporter permease_1" "CP080279" 7721 8395 "+" 675
"34" "O-antigen ligase family protein" "CP080276" 7873 9165 "+" 1293
"35" "alpha/beta hydrolase_1" "CP080277" 7979 8941 "-" 963
"36" "hypothetical protein_11" "CP080278" 8259 8765 "-" 507
"37" "amino acid ABC transporter ATP-binding protein_1" "CP080279" 8392 9147 "+" 756
"38" "alpha/beta hydrolase_2" "CP080278" 8808 9689 "-" 882
"39" "hypothetical protein_12" "CP080275" 8899 9726 "+" 828
"40" "hypothetical protein_13" "CP080277" 8945 10582 "-" 1638
"41" "hypothetical protein_14" "CP080276" 9166 9960 "-" 795
"42" "hypothetical protein_15" "CP080279" 9288 9494 "-" 207
"43" "YjbF family lipoprotein_1" "CP080279" 9676 10401 "-" 726
"44" "DMT family transporter_1" "CP080278" 9735 10640 "-" 906
"45" "transporter substrate-binding domain-containing protein_1" "CP080275" 9880 10959 "+" 1080
"46" "polysaccharide biosynthesis tyrosine autokinase" "CP080276" 9968 12046 "-" 2079
"47" "YjbH domain-containing protein_1" "CP080279" 10398 12596 "-" 2199
"48" "hypothetical protein_16" "CP080277" 10676 11212 "-" 537
"49" "helix-turn-helix domain-containing protein_1" "CP080278" 10807 11028 "+" 222
"50" "transporter substrate-binding domain-containing protein_2" "CP080275" 10971 11996 "+" 1026
"51" "DUF1272 domain-containing protein" "CP080278" 11189 11458 "-" 270
"52" "DUF2726 domain-containing protein" "CP080277" 11209 11709 "-" 501
"53" "helix-turn-helix domain-containing protein_2" "CP080278" 11522 12505 "+" 984
"54" "hypothetical protein_17" "CP080277" 11697 11972 "-" 276
"55" "glycosyltransferase family 2 protein_1" "CP080276" 12258 13310 "+" 1053
"56" "hypothetical protein_18" "CP080277" 12325 12660 "+" 336
"57" "hypothetical protein_19" "CP080277" 12686 13246 "-" 561
"58" "polysaccharide biosynthesis protein" "CP080279" 12901 14775 "-" 1875
"59" "glycosyltransferase_2" "CP080276" 13315 14268 "+" 954
"60" "hypothetical protein_20" "CP080277" 13367 13678 "-" 312
"61" "hypothetical protein_21" "CP080277" 13690 14052 "-" 363
"62" "helix-turn-helix domain-containing protein_3" "CP080277" 14220 14588 "+" 369
"63" "glycosyltransferase family 1 protein" "CP080276" 14272 15447 "+" 1176
"64" "type II toxin-antitoxin system HipA family toxin" "CP080277" 14585 15871 "+" 1287
"65" "aldehyde dehydrogenase family protein_1" "CP080278" 14659 16098 "-" 1440
"66" "sugar transferase_1" "CP080279" 15280 15891 "-" 612
"67" "glycosyltransferase_3" "CP080276" 15357 16415 "-" 1059
"68" "NAD-dependent epimerase/dehydratase family protein_1" "CP080279" 15888 16853 "-" 966
"69" "PH domain-containing protein" "CP080277" 16049 16465 "+" 417
"70" "Gfo/Idh/MocA family oxidoreductase_1" "CP080278" 16229 17353 "-" 1125
"71" "1-acyl-sn-glycerol-3-phosphate acyltransferase_1" "CP080277" 16462 16980 "-" 519
"72" "ABC transporter substrate-binding protein_1" "CP080276" 16628 17788 "+" 1161
"73" "polysaccharide biosynthesis/export family protein_1" "CP080279" 16962 18101 "+" 1140
"74" "NYN domain-containing protein_1" "CP080277" 16985 17554 "-" 570
"75" "sugar phosphate isomerase/epimerase_1" "CP080278" 17350 18405 "-" 1056
"76" "outer membrane protein transport protein_1" "CP080277" 17790 18899 "+" 1110
"77" "methyl-accepting chemotaxis protein_1" "CP080276" 17889 20555 "+" 2667
"78" "LacI family transcriptional regulator_1" "CP080278" 18429 19469 "-" 1041
"79" "aminotransferase class III-fold pyridoxal phosphate-dependent enzyme_1" "CP080275" 18721 20067 "-" 1347
"80" "dienelactone hydrolase-related enzyme" "CP080277" 18922 19923 "-" 1002
"81" "glucose-1-phosphate thymidylyltransferase RfbA" "CP080279" 19276 20166 "-" 891
"82" "ABC transporter substrate-binding protein_2" "CP080278" 19620 20849 "+" 1230
"83" "hypothetical protein_22" "CP080277" 19913 21517 "-" 1605
"84" "IclR family transcriptional regulator_1" "CP080275" 20064 20873 "-" 810
"85" "dTDP-4-dehydrorhamnose reductase" "CP080279" 20163 21011 "-" 849
"86" "AzlD domain-containing protein_1" "CP080276" 20646 20945 "-" 300
"87" "AzlC family ABC transporter permease_1" "CP080276" 20942 21658 "-" 717
"88" "sugar ABC transporter permease_1" "CP080278" 20942 21874 "+" 933
"89" "tripartite tricarboxylate transporter substrate binding protein_1" "CP080275" 20990 21934 "+" 945
"90" "dTDP-glucose 4%2C6-dehydratase" "CP080279" 21163 22215 "-" 1053
"91" "hypothetical protein_23" "CP080277" 21732 22229 "+" 498
"92" "Lrp/AsnC family transcriptional regulator_1" "CP080276" 21747 22220 "+" 474
"93" "carbohydrate ABC transporter permease_1" "CP080278" 21912 22796 "+" 885
"94" "tripartite tricarboxylate transporter TctB family protein_1" "CP080275" 21999 22538 "+" 540
"95" "dTDP-4-dehydrorhamnose 3%2C5-epimerase" "CP080279" 22219 22773 "-" 555
"96" "DNA topoisomerase" "CP080277" 22232 24499 "-" 2268
"97" "MFS transporter_2" "CP080276" 22240 23556 "-" 1317
"98" "tripartite tricarboxylate transporter permease_1" "CP080275" 22551 24068 "+" 1518
"99" "ABC transporter ATP-binding protein_1" "CP080278" 22803 23888 "+" 1086
"100" "M10 family metallopeptidase C-terminal domain-containing protein_1" "CP080279" 22984 24435 "+" 1452
"101" "LysR substrate-binding domain-containing protein_1" "CP080276" 23625 24530 "-" 906
"102" "sugar phosphate isomerase/epimerase_2" "CP080278" 23909 24652 "+" 744
"103" "aldehyde dehydrogenase_1" "CP080275" 24074 25558 "+" 1485
"104" "hypothetical protein_24" "CP080279" 24517 26712 "-" 2196
"105" "ABC transporter substrate-binding protein_3" "CP080277" 24572 25150 "-" 579
