"GeneID" "Chr" "Start" "End" "Strand" "Length"
"1" "OL67_000001" 1 1 1428 "+" 1428
"2" "OL67_000002" 1 1738 2859 "+" 1122
"3" "OL67_000003" 1 2957 4054 "+" 1098
"4" "OL67_000004" 1 4051 4671 "+" 621
"5" "OL67_000005" 1 4686 5285 "-" 600
"6" "OL67_000006" 1 5386 5979 "+" 594
"7" "OL67_000007" 1 6065 8482 "+" 2418
"8" "OL67_000008" 1 8899 9726 "+" 828
"9" "OL67_000009" 1 9880 10959 "+" 1080
"10" "OL67_000010" 1 10971 11996 "+" 1026
"11" "OL67_000011" 1 12128 12442 "-" 315
"12" "OL67_000018" 1 18721 20067 "-" 1347
"13" "OL67_000019" 1 20064 20873 "-" 810
"14" "OL67_000020" 1 20990 21934 "+" 945
"15" "OL67_000021" 1 21999 22538 "+" 540
"16" "OL67_000022" 1 22551 24068 "+" 1518
"17" "OL67_000023" 1 24074 25558 "+" 1485
"18" "OL67_000024" 1 25570 26829 "+" 1260
"19" "OL67_000025" 1 26892 27281 "+" 390
"20" "OL67_000026" 1 27278 28789 "+" 1512
"21" "OL67_000027" 1 28789 29772 "+" 984
"22" "OL67_000028" 1 29769 30623 "+" 855
"23" "OL67_000029" 1 30620 31420 "+" 801
"24" "OL67_000030" 1 31515 32504 "-" 990
"25" "OL67_000031" 1 32509 32733 "-" 225
"26" "OL67_000032" 1 33043 33957 "-" 915
"27" "OL67_000033" 1 34079 34684 "+" 606
"28" "OL67_000034" 1 34742 37006 "+" 2265
"29" "OL67_000035" 1 37071 38360 "+" 1290
"30" "OL67_000036" 1 38487 39944 "-" 1458
"31" "OL67_000037" 1 39937 40410 "-" 474
"32" "OL67_000038" 1 40407 42014 "-" 1608
"33" "OL67_000039" 1 42011 42826 "-" 816
"34" "OL67_000040" 1 42954 43901 "-" 948
"35" "OL67_000041" 1 44017 45282 "+" 1266
"36" "OL67_000042" 1 45354 46832 "-" 1479
"37" "OL67_000043" 1 46993 47856 "+" 864
"38" "OL67_000044" 1 47864 48721 "+" 858
"39" "OL67_000045" 1 48789 50273 "+" 1485
"40" "OL67_000046" 1 50395 51651 "-" 1257
"41" "OL67_000047" 1 51754 52302 "-" 549
"42" "OL67_000048" 1 52561 53025 "-" 465
"43" "OL67_000049" 1 53180 54217 "-" 1038
"44" "OL67_000050" 1 54343 55104 "-" 762
"45" "OL67_000051" 1 55171 55602 "-" 432
"46" "OL67_000052" 1 55956 56588 "-" 633
"47" "OL67_000053" 1 56769 57698 "-" 930
"48" "OL67_000054" 1 57671 58594 "-" 924
"49" "OL67_000055" 1 58591 59955 "-" 1365
"50" "OL67_000056" 1 60030 60617 "-" 588
"51" "OL67_000057" 1 60752 61039 "+" 288
"52" "OL67_000058" 1 61241 63340 "+" 2100
"53" "OL67_000059" 1 63370 64134 "+" 765
"54" "OL67_000060" 1 64162 66456 "-" 2295
"55" "OL67_000061" 1 66605 72073 "+" 5469
"56" "OL67_000062" 1 72136 74160 "+" 2025
"57" "OL67_000063" 1 74195 76255 "-" 2061
"58" "OL67_000064" 1 76271 79189 "-" 2919
"59" "OL67_000065" 1 79186 80109 "-" 924
"60" "OL67_000066" 1 80106 81113 "-" 1008
"61" "OL67_000067" 1 81196 81795 "+" 600
"62" "OL67_000068" 1 82073 82825 "+" 753
"63" "OL67_000069" 1 82974 83243 "+" 270
"64" "OL67_000070" 1 83457 86270 "-" 2814
"65" "OL67_000071" 1 86498 88552 "-" 2055
"66" "OL67_000072" 1 88760 88942 "-" 183
"67" "OL67_000073" 1 89014 89946 "+" 933
"68" "OL67_000074" 1 90008 90385 "-" 378
"69" "OL67_000075" 1 90407 91168 "-" 762
"70" "OL67_000076" 1 91351 92151 "-" 801
