"GeneID","Chr","Start","End","Strand","Length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gap"
"transporter substrate-binding domain-containing protein_1","CP080275",9880,10959,"+",1080,741.4197254333,1.25748948833459,0.165519268076049,7.5972393,3.02514826359867e-14,4.47675041489136e-13,12
"transporter substrate-binding domain-containing protein_2","CP080275",10971,11996,"+",1026,594.250361475715,1.2604729008786,0.120104308509303,10.4948183501757,9.12530634087509e-26,2.61958042176399e-24,88179
"MFS transporter_4","CP080275",100175,101416,"+",1242,3211.4097236277,-2.35503388521337,0.149827597802906,-15.7182916882333,1.13338586373126e-55,1.16953168316918e-53,86675
"glycosyltransferase family 2 protein_4","CP080275",188091,189041,"+",951,649.954664330822,-1.25487797827285,0.194325091010964,-6.45762197637176,1.06361017799735e-10,1.15694121355951e-09,2
"NAD(P)-dependent oxidoreductase_1","CP080275",189043,189840,"+",798,468.008564205575,-1.53487501120939,0.185211329430618,-8.28715508888115,1.1598935334063e-16,2.0314098672226e-15,-19
"glycosyltransferase_6","CP080275",189821,190609,"+",789,1137.82772365983,-1.13315650409308,0.148575564397244,-7.62680262188591,2.40647607091703e-14,3.60310809363186e-13,-3
"DegT/DnrJ/EryC1/StrS family aminotransferase_1","CP080275",190606,191802,"+",1197,675.81421680128,-1.03908875011354,0.154147871695928,-6.74085693614533,1.57455187139583e-11,1.86696864751219e-10,42
"GDP-mannose 4%2C6-dehydratase_2","CP080275",191844,192971,"+",1128,1085.20664454103,-1.1530285182517,0.127108131216398,-9.07124121185208,1.17668837612681e-19,2.58195185060468e-18,113
"hypothetical protein_106","CP080275",193084,193590,"-",507,4004.91730180607,-3.69805854526935,0.250811825798616,-14.7443547906653,3.34501326312338e-49,2.7763610083924e-47,5784
"helix-turn-helix domain-containing protein_11","CP080275",199374,199778,"-",405,198.268326543387,1.26173244394873,0.148178058045822,8.51497489296664,1.66626401094509e-17,3.14940395732097e-16,80
"MFS transporter_7","CP080275",199858,201099,"+",1242,2222.28201861195,4.08489202287768,0.202228326850013,20.1994057237457,9.90824346117748e-91,3.43906123043415e-88,10740
"PrkA family serine protein kinase","CP080275",211839,213773,"+",1935,8634.80569255313,-1.29187999313718,0.255579109507102,-5.05471670054976,4.31030102871036e-07,3.05887162223348e-06,22
"YeaH/YhbH family protein","CP080275",213795,215132,"+",1338,2675.08787381015,-1.32297538691369,0.20662766816894,-6.4027020129367,1.52650948947582e-10,1.63713854798277e-09,19040
"tetratricopeptide repeat protein_1","CP080275",234172,235836,"+",1665,27906.4142163973,-2.03675482736515,0.238771818390238,-8.53013073777563,1.4618241753846e-17,2.77673865752159e-16,15724
"NAD(P)H-binding protein_2","CP080275",251560,252216,"-",657,71.0757248043323,2.78371597466037,0.3151104070917,8.83409723072167,1.00909853390345e-18,2.08256119050992e-17,16116
"hypothetical protein_114","CP080275",268332,268805,"-",474,1614.53161593025,1.4304041288828,0.188735106855076,7.57889802654027,3.48502281726252e-14,5.09801422080777e-13,26148
"VOC family protein_2","CP080275",294953,295336,"-",384,189.960645004658,-1.54565574142594,0.205981104133343,-7.50387152224098,6.19600353419897e-14,8.86005299384707e-13,149
"redox-sensitive transcriptional activator SoxR","CP080275",295485,295979,"+",495,468.148244070788,-1.38030746499036,0.166855824778165,-8.27245597704173,1.31227323948603e-16,2.2773905583444e-15,9225
"acetoacetyl-CoA reductase","CP080275",305204,305926,"-",723,8238.24110526082,-1.30494017942018,0.154406162309349,-8.45134779534096,2.8795904560905e-17,5.36306163968464e-16,4123
"TlpA family protein disulfide reductase","CP080275",310049,310612,"-",564,1150.04053002819,1.00954330184894,0.103555754325852,9.74878999647157,1.8667999647977e-22,4.78351829905882e-21,18076
"succinate--CoA ligase subunit alpha","CP080275",328688,329572,"-",885,13124.1729259447,-1.08319399601553,0.152461542493426,-7.10470311594963,1.20581462096636e-12,1.60411157590578e-11,382
"ADP-forming succinate--CoA ligase subunit beta","CP080275",329954,331147,"-",1194,14820.5697171985,-1.16757952542802,0.179550126934398,-6.50280534669081,7.88357806890176e-11,8.74985496135666e-10,1740
"sulfite exporter TauE/SafE family protein_1","CP080275",332887,333642,"+",756,336.218790368568,-1.40690016129674,0.132733600625801,-10.5994273843518,2.99810254355671e-26,8.94277774320275e-25,111
"hypothetical protein_126","CP080275",333753,334082,"-",330,1208.45851798855,-2.85784249368755,0.216654538965559,-13.1907806193797,9.91531604078726e-40,5.48647487590229e-38,8436
"succinate dehydrogenase iron-sulfur subunit","CP080275",342518,343297,"+",780,3625.24401922662,1.16588132812192,0.207068997304759,5.63040022068586,1.79791929759022e-08,1.5053631311841e-07,213
"hypothetical protein_128","CP080275",343510,343710,"+",201,2606.01030043999,-2.3346854025543,0.206530473618622,-11.30431437864,1.24926091260593e-29,4.19027262425772e-28,2733
"purine-nucleoside phosphorylase","CP080275",346443,347147,"-",705,1319.14749136951,3.81596156982204,0.208667850941348,18.2872519777598,1.04554751596946e-74,2.49493775998213e-72,114253
"alpha-hydroxy-acid oxidizing protein_1","CP080275",461400,462566,"-",1167,999.081499639138,1.82980915848978,0.154108822103025,11.8734874066231,1.62547557257289e-32,6.46465180842009e-31,13290
"dihydrodipicolinate synthase family protein","CP080275",475856,476815,"+",960,538.627268602535,3.00802745560116,0.216806866169968,13.8742259815839,9.07676099416632e-44,6.30092245013219e-42,-9
"proline racemase family protein_2","CP080275",476806,477750,"+",945,171.665255253836,3.02551719668371,0.27436363417876,11.0273987503477,2.81901015275891e-28,9.04452164977606e-27,0
"aldehyde dehydrogenase family protein_6","CP080275",477750,479180,"+",1431,215.472602695439,2.82603591628612,0.228411246535007,12.3725777918426,3.67824094506026e-35,1.73376838620248e-33,9897
"ABC transporter substrate-binding protein_11","CP080275",489077,490810,"-",1734,233.370357825316,1.03357729517595,0.188031896692757,5.49681896186374,3.86703330765047e-08,3.10828066707568e-07,6439
"oligosaccharide flippase family protein_2","CP080275",497249,498613,"-",1365,518.575229518275,-1.04531349833927,0.115408309060377,-9.05752373334233,1.33445512907364e-19,2.91139981874466e-18,35344
"purine permease","CP080275",533957,535384,"+",1428,429.951346015926,-1.33569316455645,0.14760848165979,-9.04889170010548,1.44426735318005e-19,3.1330754286599e-18,17874
"group III truncated hemoglobin","CP080275",553258,553668,"-",411,139.02094071803,1.11240797698008,0.229466481876027,4.84780159562072,1.2483715829897e-06,8.09216078752913e-06,7640
"hypothetical protein_137","CP080275",561308,561649,"-",342,601.710011576038,-1.1996278010533,0.162903767057596,-7.36402738083498,1.78443069404445e-13,2.50476337862563e-12,4970
"YeeE/YedE family protein_1","CP080275",566619,567683,"-",1065,26.8889718506363,1.44572598330293,0.431791535046227,3.34820362596537,0.000813372254198195,0.00311167862377626,2481
"hypothetical protein_138","CP080275",570164,570508,"+",345,5934.1040310898,-1.07194267043349,0.123418573781124,-8.68542422418945,3.77331510308965e-18,7.6224958008446e-17,14109
"formate--tetrahydrofolate ligase","CP080275",584617,586293,"+",1677,4173.1271288753,-1.24985154774294,0.181324413566226,-6.89290274354835,5.46652504536799e-12,6.88818238389934e-11,9672
"type II secretion system F family protein_2","CP080275",595965,596933,"-",969,1738.22781699811,-1.19616744323536,0.155062578166976,-7.71409489881751,1.21843791281643e-14,1.84603013933854e-13,0
"CpaF family protein","CP080275",596933,598378,"-",1446,1773.83927857209,-1.02961115342292,0.156274176977145,-6.58849192706677,4.44316407019787e-11,5.0790420419208e-10,30
"AAA family ATPase_4","CP080275",598408,599640,"-",1233,2125.34998976305,-1.10386338740464,0.114839566720024,-9.61222180588538,7.10001199835791e-22,1.7834109085349e-20,2485
"Flp pilus assembly protein CpaB","CP080275",602125,602985,"-",861,2749.49469596468,-1.14557436782295,0.202815128020366,-5.64836745170169,1.61978669221167e-08,1.37429902019203e-07,151
"hypothetical protein_140","CP080275",603136,603312,"-",177,734.675735458522,-1.35131476759101,0.253823641147731,-5.32383335721085,1.01602992380325e-07,7.78956274915828e-07,2906
"CoA transferase subunit A","CP080275",606218,606937,"-",720,2067.16512581034,1.21647192829195,0.193787186536861,6.27735997426519,3.4437016015084e-10,3.47832082395743e-09,3070
"DNA-processing protein DprA","CP080275",610007,611245,"-",1239,2584.4807080292,-1.11780266895586,0.243917058530395,-4.58271625482302,4.58974647827345e-06,2.75096578556484e-05,3822
