"","GeneID","Chr","Start","End","Strand","Length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"2","chromosomal replication initiator protein DnaA","CP080275",1,1428,"+",1428,2054.79940577071,-0.207049577786789,0.21438793571464,-0.9657706582071,0.33415895387276,0.48053442029612
"10","DNA polymerase III subunit beta","CP080275",1738,2859,"+",1122,4069.55664860362,-0.0665244357411481,0.0937781211818229,-0.709381195771308,0.478087953695421,0.624578392930706
"17","DNA replication/repair protein RecF","CP080275",2957,4054,"+",1098,443.118181208672,0.216887623296051,0.173502242928832,1.25005659658829,0.211278873434849,0.340393186737374
"21","LysE family translocator_1","CP080275",4051,4671,"+",621,69.7230886244471,0.123553427446141,0.209154994935577,0.59072664023251,0.554703595167242,0.687393160126105
"23","TetR/AcrR family transcriptional regulator_1","CP080275",4686,5285,"-",600,87.3025684132188,0.232271298440388,0.212438578978442,1.09335742856743,0.274236897289752,0.414996620631103
"27","NAD(P)H-dependent oxidoreductase_1","CP080275",5386,5979,"+",594,261.399882513577,-0.239411486679713,0.205681252527475,-1.16399274964417,0.244426950025782,0.380751568828411
"28","DNA topoisomerase (ATP-hydrolyzing) subunit B","CP080275",6065,8482,"+",2418,4408.43197909591,0.267081962684769,0.0888878016199642,3.00470883312725,0.00265835196692999,0.00896606696973384
"39","hypothetical protein_12","CP080275",8899,9726,"+",828,1179.91366217876,0.818892201048206,0.118069200157023,6.93569703156405,4.04223071364039e-12,5.19637604871347e-11
"45","transporter substrate-binding domain-containing protein_1","CP080275",9880,10959,"+",1080,741.4197254333,1.25748948833459,0.165519268076049,7.5972393,3.02514826359867e-14,4.47675041489136e-13
"50","transporter substrate-binding domain-containing protein_2","CP080275",10971,11996,"+",1026,594.250361475715,1.2604729008786,0.120104308509303,10.4948183501757,9.12530634087509e-26,2.61958042176399e-24
"79","aminotransferase class III-fold pyridoxal phosphate-dependent enzyme_1","CP080275",18721,20067,"-",1347,526.194271595631,-0.1226964971769,0.117308202842407,-1.04593280098009,0.295592058976273,0.439758958364297
"84","IclR family transcriptional regulator_1","CP080275",20064,20873,"-",810,216.949537069104,-0.0808261017378733,0.168156183777195,-0.480660894665443,0.630757528495063,0.74906135110238
"89","tripartite tricarboxylate transporter substrate binding protein_1","CP080275",20990,21934,"+",945,331.75136486832,0.623251712702506,0.164186381718509,3.79600126501994,0.000147048747665446,0.000673988137559032
